bucket_id,name,owner,created_at,updated_at,last_accessed_at,metadata
payment-receipts,606f9612-7e3a-4199-86a6-53f61613bd45/ec5d9631-c1f0-4d7c-a82e-f7b4e011e27b.png,606f9612-7e3a-4199-86a6-53f61613bd45,2026-06-27 16:23:57.524699+00,2026-06-27 16:23:57.524699+00,2026-06-27 16:23:57.524699+00,"{""eTag"": ""\""407381c2fa063c5925434c82afd6be5d\"""", ""size"": 12895, ""mimetype"": ""image/png"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-27T16:23:58.000Z"", ""contentLength"": 12895, ""httpStatusCode"": 200}"
payment-receipts,a480db37-eac3-456f-ba97-0465cf76365b/3afca4be-565d-4e7c-ac38-cf8ffe51b6b8.jpg,a480db37-eac3-456f-ba97-0465cf76365b,2026-06-29 15:33:54.208822+00,2026-06-29 15:33:54.208822+00,2026-06-29 15:33:54.208822+00,"{""eTag"": ""\""4638fd82337d977082ec0630e1ff0387\"""", ""size"": 232539, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-29T15:33:55.000Z"", ""contentLength"": 232539, ""httpStatusCode"": 200}"
payment-receipts,c67c1d5d-8627-4b27-8bf7-5ef1599f3676/d3d963bf-9fde-440b-822f-8f5b86c63bcb.jpg,c67c1d5d-8627-4b27-8bf7-5ef1599f3676,2026-07-04 14:57:34.720478+00,2026-07-04 14:57:34.720478+00,2026-07-04 14:57:34.720478+00,"{""eTag"": ""\""46afb50929a9e3d397d911a9e083d1b7\"""", ""size"": 47062, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-04T14:57:35.000Z"", ""contentLength"": 47062, ""httpStatusCode"": 200}"
payment-receipts,f21a27c6-b11c-41ec-afc3-098ac26d53a2/be45dba1-699c-4c70-a4d6-b2c6d31b34ff.jpg,f21a27c6-b11c-41ec-afc3-098ac26d53a2,2026-06-16 17:50:40.577781+00,2026-06-16 17:50:40.577781+00,2026-06-16 17:50:40.577781+00,"{""eTag"": ""\""1e9a41b0e03d493e25c78866ea043501\"""", ""size"": 129221, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-16T17:50:41.000Z"", ""contentLength"": 129221, ""httpStatusCode"": 200}"
